external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
906000000000000000,10_GOP,Will players “take a knee” tonight to protest the lives saved by Las Vegas police officers? Will ESPN spit on first responders yet again?,Unknown,English,10/2/2017 23:34,10/2/2017 23:35,1066,9737,271,RETWEET,Right,1,RightTroll,0,905874659358453760,914997139440373760,http://twitter.com/905874659358453760/statuses/914997139440373760,,,
906000000000000000,10_GOP,"Wow.. this man was literally standing when everyone was laying down, sipping a beer and giving the shooter the finger.  #VegasStrong https://t.co/Hk6uo5qsTr",Unknown,English,10/2/2017 23:52,10/2/2017 23:52,1066,9741,272,,Right,0,RightTroll,0,905874659358453760,915001626674569216,http://twitter.com/905874659358453760/statuses/915001626674569216,https://twitter.com/10_gop/status/915001626674569216/video/1,,
906000000000000000,10_GOP,"Crybaby Marshawn Lynch of the Oakland Raiders sitting during the anthem, hiding behind staff. What a joke the NFL has become. #BoycottNFL https://t.co/tuhU59v9My",Unknown,English,10/2/2017 2:31,10/2/2017 2:31,1064,9653,257,RETWEET,Right,1,RightTroll,0,905874659358453760,914679183032373249,http://twitter.com/905874659358453760/statuses/914679183032373249,https://twitter.com/asamjulian/status/914649125299376134/photo/1,,
906000000000000000,10_GOP,The truth about Puerto Rico 🇵🇷 &amp; it's not the propaganda Mayor of #SanJuan has been spewing w/MSM &amp; cluless celebrities♦️RT♦️  #TakeAKnee https://t.co/gRYqsM9g8M,Unknown,English,10/2/2017 2:42,10/2/2017 2:42,1064,9651,258,RETWEET,Right,1,RightTroll,0,905874659358453760,914681854858600449,http://twitter.com/905874659358453760/statuses/914681854858600449,https://twitter.com/ExDemLatina/status/914618774761783296/video/1,,
906000000000000000,10_GOP,"FEMA deputy rips Democrat San Juan Mayor: ""She has not participated in any of our relief efforts."" https://t.co/vYuE1XBdoJ",Unknown,English,10/2/2017 2:48,10/2/2017 2:49,1064,9652,259,,Right,0,RightTroll,0,905874659358453760,914683575261368320,http://twitter.com/905874659358453760/statuses/914683575261368320,https://twitter.com/10_gop/status/914683575261368320/video/1,,
906000000000000000,10_GOP,WOW! CNN cuts off former Puerto Rico AG after accusing San Juan Mayor of being a political hack.  #FakeNews https://t.co/eSXAzZUmjN,Unknown,English,10/2/2017 3:44,10/2/2017 3:45,1065,9651,260,,Right,0,RightTroll,0,905874659358453760,914697637995192320,http://twitter.com/905874659358453760/statuses/914697637995192320,https://twitter.com/10_gop/status/914697637995192320/video/1,,
906000000000000000,10_GOP,Police stand-up and rush in to save lives in Las Vegas  Marcus Peters sits during the anthem despite a national day of mourning  Despicable. https://t.co/gIxLGBBoIB,Unknown,English,10/3/2017 0:55,10/3/2017 0:56,1066,9758,274,,Right,0,RightTroll,0,905874659358453760,915017515817988096,http://twitter.com/905874659358453760/statuses/915017515817988096,https://twitter.com/10_gop/status/915017515817988096/photo/1,,
906000000000000000,10_GOP,'@CNN in hysterics as Puerto Rico FULLY EMBRACES President Trump w/ Love and Cheers of Praise !!  Fake News Narrative CRUSHED https://t.co/Mn6Jt7IO9B',Unknown,English,10/3/2017 21:51,10/3/2017 21:51,1067,10031,277,RETWEET,Right,1,RightTroll,0,905874659358453760,915333432737230848,http://twitter.com/905874659358453760/statuses/915333432737230848,https://twitter.com/StockMonsterUSA/status/915296465685061632/video/1,,
906000000000000000,10_GOP,"A couple hours before the Las Vegas Mass Shooting - the crowd proudly sang ""God Bless America"" 🇺🇸 beautiful video.  https://t.co/awQ1Uu17qH",Unknown,English,10/3/2017 21:52,10/3/2017 21:52,1067,10031,278,RETWEET,Right,1,RightTroll,0,905874659358453760,915333770974253057,http://twitter.com/905874659358453760/statuses/915333770974253057,https://twitter.com/FoxNews/status/915253204732006401/video/1,,
906000000000000000,10_GOP,'@AP_Politics This is tragic',Unknown,English,10/3/2017 22:06,10/3/2017 22:06,1067,10033,279,,Right,0,RightTroll,0,905874659358453760,915337163721596928,http://twitter.com/905874659358453760/statuses/915337163721596928,,,
906000000000000000,10_GOP,.@POTUS and @FLOTUS meet with storm survivors and pass out supplies at church in Puerto Rico today. #PRStrong https://t.co/RN9QC1b0Ax,Unknown,English,10/3/2017 23:32,10/3/2017 23:32,1067,10045,280,RETWEET,Right,1,RightTroll,0,905874659358453760,915358980473544705,http://twitter.com/905874659358453760/statuses/915358980473544705,https://twitter.com/PressSec/status/915358828375478272/photo/1,,
906000000000000000,10_GOP,"Kids, choose your idols wisely https://t.co/rqB3t5KZ25",Unknown,English,10/3/2017 3:08,10/3/2017 3:08,1067,9830,275,,Right,0,RightTroll,0,905874659358453760,915050775566483456,http://twitter.com/905874659358453760/statuses/915050775566483456,https://twitter.com/10_gop/status/915050775566483456/photo/1,,
906000000000000000,10_GOP,"House Democrat Katherine Clark refuses to participate in moment of silence for Las Vegas victims, walks out of Chamber. This is so sick. https://t.co/dKfLBjJGBf",Unknown,English,10/3/2017 4:02,10/3/2017 4:02,1067,9849,276,,Right,0,RightTroll,0,905874659358453760,915064458409660416,http://twitter.com/905874659358453760/statuses/915064458409660416,https://twitter.com/10_gop/status/915064458409660416/video/1,,
906000000000000000,10_GOP,The Senate Intel Committee basically confirms today that they have absolutely nothing on Russian collusion.  What a waste of time and money!,Unknown,English,10/4/2017 19:10,10/4/2017 19:10,1068,10105,281,RETWEET,Right,1,RightTroll,0,905874659358453760,915655407108059136,http://twitter.com/905874659358453760/statuses/915655407108059136,,,
906000000000000000,10_GOP,"Pres. Trump to Las Vegas first responders: ""You showed the world—and the world is watching—and you showed what professionalism is all about"" https://t.co/fwSNHainih",Unknown,English,10/4/2017 19:18,10/4/2017 19:19,1068,10105,282,,Right,0,RightTroll,0,905874659358453760,915657462136672256,http://twitter.com/905874659358453760/statuses/915657462136672256,https://twitter.com/10_gop/status/915657462136672256/video/1,,
906000000000000000,10_GOP,"This is the same woman who said don't politicise it, before politicising it in the very same tweet. https://t.co/khCpFsunpY",Unknown,English,10/4/2017 22:11,10/4/2017 22:11,1069,10116,283,RETWEET,Right,1,RightTroll,0,905874659358453760,915700911200243712,http://twitter.com/905874659358453760/statuses/915700911200243712,https://twitter.com/PrisonPlanet/status/915700298676686849/photo/1,,
906000000000000000,10_GOP,'@PrisonPlanet A brilliantly spot on cartoon!',Unknown,English,10/4/2017 22:12,10/4/2017 22:12,1069,10116,284,,Right,0,RightTroll,0,905874659358453760,915701158404132870,http://twitter.com/905874659358453760/statuses/915701158404132870,,,
906000000000000000,10_GOP,"'@PrisonPlanet Love it! @GrrrGraphics,one of your very best.'",Unknown,English,10/4/2017 22:14,10/4/2017 22:14,1069,10116,285,,Right,0,RightTroll,0,905874659358453760,915701596201345025,http://twitter.com/905874659358453760/statuses/915701596201345025,,,
906000000000000000,10_GOP,Wow... Black Lives Matter protesters shut down the ACLU's campus free speech event because 'Liberalism is white supremacy' https://t.co/fmMiqIKrTF,Unknown,English,10/4/2017 23:00,10/4/2017 23:00,1069,10116,286,,Right,0,RightTroll,0,905874659358453760,915713314663141377,http://twitter.com/905874659358453760/statuses/915713314663141377,https://twitter.com/10_gop/status/915713314663141377/video/1,,
906000000000000000,10_GOP,Guns don't kill people.  People kill people. https://t.co/Ai151xGb65,Unknown,English,10/4/2017 23:49,10/4/2017 23:49,1070,10115,287,QUOTE_TWEET,Right,1,RightTroll,0,905874659358453760,915725584461910016,http://twitter.com/905874659358453760/statuses/915725584461910016,https://twitter.com/jk_rowling/status/914961914370850817,,
906000000000000000,10_GOP,"Las Vegas victim meets Trump, stands up on wounded leg: ""I will always respect my country, my President,my flag!""  You won't see this on CNN https://t.co/zHEFA3LELv",Unknown,English,10/5/2017 0:51,10/5/2017 0:51,1070,10119,288,,Right,0,RightTroll,0,905874659358453760,915741126182735873,http://twitter.com/905874659358453760/statuses/915741126182735873,https://twitter.com/10_gop/status/915741126182735873/video/1,,
906000000000000000,10_GOP,50+ dead and 500+ injured in Las Vegas. Where's the Facebook photo filter to support victims of this tragedy?,Unknown,English,10/5/2017 1:39,10/5/2017 1:39,1070,10129,289,,Right,0,RightTroll,0,905874659358453760,915753349554823168,http://twitter.com/905874659358453760/statuses/915753349554823168,,,
906000000000000000,10_GOP,You won't see this picture on CNN! https://t.co/7qZ7LcZJzp,Unknown,English,10/5/2017 21:08,10/5/2017 21:08,1070,10229,291,,Right,0,RightTroll,0,905874659358453760,916047546518208512,http://twitter.com/905874659358453760/statuses/916047546518208512,https://twitter.com/10_gop/status/916047546518208512/photo/1,,
906000000000000000,10_GOP,"Ivana Trump: ""He still asks me for advice, he asks “Should I tweet? Should I not?” I say “I think you should tweet.” https://t.co/bmNSMb3ZA9",Unknown,English,10/5/2017 21:57,10/5/2017 21:57,1070,10232,292,,Right,0,RightTroll,0,905874659358453760,916059844217573379,http://twitter.com/905874659358453760/statuses/916059844217573379,https://twitter.com/10_gop/status/916059844217573379/video/1,,
